source,target,letters,source_gender,target_gender
"Lambert, William","Jefferson, Thomas",44,M,M
"Yznardi, Joseph Sr.","Jefferson, Thomas",44,M,M
"Adams, John Quincy","Madison, James",44,M,M
"Willis, William","Madison, James",44,M,M
"Smith, Samuel","Madison, James",44,M,M
"Dougherty, Joseph","Jefferson, Thomas",44,M,M
"Madison, James","Allen, William",44,M,M
"Norris, Isaac","Franklin, Benjamin",43,M,M
"Johnson, Thomas","Washington, George",43,M,M
"Washington, George","Howe, William",43,M,M
"Clinton, Henry","Washington, George",43,M,M
"Phillips, William","Washington, George",43,M,M
"Madison, James","Jones, Joseph",43,M,M
"Barlow, Joel","Jefferson, Thomas",43,M,M
"Madison, James","King, Rufus",43,M,M
"Pinckney, Charles","Jefferson, Thomas",43,M,M
"Hamilton, Alexander","Short, William",43,M,M
"Shaw, William Smith","Adams, Abigail Smith",43,M,F
"Jefferson, Thomas","Oldham, James",43,M,M
"Jefferson, Thomas","Hay, George",43,M,M
"Latrobe, Benjamin Henry","Madison, James",43,M,M
"Madison, James","Rush, Richard",43,M,M
"Washington, George","Washington, John Augustine",42,M,M
"Varnum, James Mitchell","Washington, George",42,M,M
"Eppes, Francis","Jefferson, Thomas",42,M,M
"Muhlenberg, Peter","Washington, George",42,M,M
"Bland, Theodorick","Washington, George",42,M,M
"Coffyn, Francis","Franklin, Benjamin",42,M,M
"Shaw, Elizabeth Smith","Adams, Abigail Smith",42,F,F
"Franklin, Benjamin","Jones, John Paul",42,M,M
"Smith, John","Jefferson, Thomas",42,M,M
"Paradise, Lucy Ludwell","Jefferson, Thomas",42,F,M
"Jefferson, Thomas","Brown, James",42,M,M
"Wistar, Caspar","Jefferson, Thomas",42,M,M
"Pinckney, Thomas","Jefferson, Thomas",42,M,M
"Jefferson, Thomas","Genet, Edmond Charles",42,M,M
"Newton, Thomas","Jefferson, Thomas",42,M,M
"Humphreys, David","Madison, James",42,M,M
"Jefferson, Thomas","Dinsmore, James",42,M,M
"Madison, James","Senate,",42,M,M
"Boylston, Ward Nicholas","Adams, John",42,M,M
"Madison, James","Cabell, Joseph C.",42,M,M
"Franklin, Benjamin","Collinson, Peter",41,M,M
"Ward, Joseph","Adams, John",41,M,M
"Bayley, Jacob","Washington, George",41,M,M
"Grand, Rodolphe-Ferdinand","Franklin, Benjamin",41,M,M
"Lee, Arthur","Adams, John",41,M,M
"Washington, George","Duportail, Antoine-Jean-Louis Le Bègue de Presle",41,M,M
"Hamilton, Alexander","Knox, Henry",41,M,M
"Jefferson, Thomas","Wood, James",41,M,M
"Cutting, John Brown","Jefferson, Thomas",41,M,M
"Livingston, Robert R.","Jefferson, Thomas",41,M,M
"Washington, George Augustine","Washington, George",41,M,M
"Madison, James","Coxe, Tench",41,M,M
"Jefferson, Thomas","Lyle, James",41,M,M
"Ellicott, Andrew","Jefferson, Thomas",41,M,M
"Jefferson, Thomas","Wistar, Caspar",41,M,M
"Stevens, Ebenezer","Hamilton, Alexander",41,M,M
"Adams, John Quincy","Shaw, William Smith",41,M,M
"Madison, James","Claiborne, William C. C.",41,M,M
"Jefferson, Thomas","Munroe, Thomas",41,M,M
"Dearborn, Henry","Madison, James",41,M,M
"Carey, Mathew","Madison, James",41,M,M
"Coolidge, Ellen Wayles Randolph","Jefferson, Thomas",41,F,M
"Crawford, William Harris","Madison, James",41,M,M
"Coles, Edward","Madison, James",41,M,M
"Madison, James","Peyton, Bernard",41,M,M
"Collinson, Peter","Franklin, Benjamin",40,M,M
"Washington, George","Woodford, William",40,M,M
"Cranch, Richard","Adams, John",40,M,M
"Franklin, Benjamin","Bache, Richard",40,M,M
"Adams, John","Warren, Mercy Otis",40,M,F
"Washington, George","Adams, John",40,M,M
"Washington, George","Dickinson, Philemon",40,M,M
"Morris, Gouverneur","Hamilton, Alexander",40,M,M
"Jefferson, Thomas","County Lieutenants,",40,M,M
"Washington, George","Hanson, John",40,M,M
"Rush, Benjamin","Jefferson, Thomas",40,M,M
"Hamilton, Alexander","Van Staphorst, Nicholaas",40,M,M
"Hamilton, Alexander","Willink, Jan",40,M,M
"Hamilton, Alexander","Willink, Wilhelm",40,M,M
"Hamilton, Alexander","Adams, John",40,M,M
"Jefferson, Thomas","Eppes, Mary Jefferson",40,M,F
"Carey, Mathew","Jefferson, Thomas",40,M,M
"Jefferson, Thomas","Leitch, James",40,M,M
"Franklin, William","Franklin, Benjamin",39,M,M
"Washington, George","Lee, Richard Henry",39,M,M
"Howe, William","Washington, George",39,M,M
"Washington, George","Henry, Patrick",39,M,M
"Clark, John Jr.","Washington, George",39,M,M
"Washington, George","Huntington, Jedediah",39,M,M
"Williams, Jonathan Jr.","Adams, John",39,M,M
"Lee, William","Jefferson, Thomas",39,M,M
"Washington, George","Skinner, Abraham",39,M,M
"Jefferson, Thomas","Smith, Samuel",39,M,M
"Jackson, William","Washington, George",39,M,M
"Madison, James","Pinckney, Charles",39,M,M
"Otis, Samuel Allyne","Adams, John",39,M,M
"Appleton, Nathaniel","Hamilton, Alexander",39,M,M
"Hamilton, Alexander","Hubbard, Nicholas",39,M,M
"Hamilton, Alexander","Van Staphorst, Jacob",39,M,M
"Jefferson, Thomas","Leiper, Thomas",39,M,M
"Jefferson, Thomas","House of Representatives,",39,M,NA
"Adams, Abigail Smith","Johnson, Catherine Nuth",39,F,F
"Jackson, John G.","Madison, James",39,M,M
"Jefferson, Thomas","Lincoln, Levi",39,M,M
"Smith, Robert","Madison, James",39,M,M
"Yancey, Joel","Jefferson, Thomas",39,M,M
"Jefferson, Thomas","Girardin, Louis Hue",39,M,M
"Washington, George","Stephen, Adam",38,M,M
"Armstrong, John","Washington, George",38,M,M
"Washington, George","Boucher, Jonathan",38,M,M
"Henry, Patrick","Washington, George",38,M,M
"Wickes, Lambert","Franklin, Benjamin",38,M,M
"Franklin, Benjamin","Jay, John",38,M,M
"Washington, George","Spotswood, Alexander",38,M,M
"Washington, George","Malcom, William",38,M,M
"Dumas, Charles William Frederic","First Joint Commission at Paris,",38,M,M
"Franklin, Benjamin","Schweighauser, John Daniel",38,M,M
"Irvine, William","Washington, George",38,M,M
"Board of Trade,","Jefferson, Thomas",38,NA,M
"Jefferson, Thomas","Dumas, Charles William Frederic",38,M,M
"Washington, Bushrod","Washington, George",38,M,M
"Jefferson, Thomas","Appleton, Thomas",38,M,M
"Tudor, William Sr.","Adams, John",38,M,M
"Hamilton, Alexander","Randolph, Edmund",38,M,M
"Nourse, Joseph","Hamilton, Alexander",38,M,M
"Hamtramck, John F.","Hamilton, Alexander",38,M,M
"Wilkinson, James","Hamilton, Alexander",38,M,M
"Jefferson, Thomas","Smith, Samuel Harrison",38,M,M
"Waterhouse, Benjamin","Jefferson, Thomas",38,M,M
"Madison, James","Pichon, Louis-André",38,M,M
"Oldham, James","Jefferson, Thomas",38,M,M
"Jefferson, Thomas","Reibelt, J. Phillipe",38,M,M
"Adams, John","Taylor, John",38,M,M
"Graham, George","Madison, James",38,M,M
"Franklin, Benjamin","Colden, Cadwallader",37,M,M
"Washington, George","Fairfax, George William",37,M,M
"Adams, John","Tufts, Cotton",37,M,M
"Varick, Richard","Washington, George",37,M,M
"Kéralio, Agathon Guynement chevalier de","Franklin, Benjamin",37,M,M
"Stark, John","Washington, George",37,M,M
"Hay, Udny","Washington, George",37,M,M
"Dalton, Tristram","Adams, John",37,M,M
"Jefferson, Thomas","Lewis, Nicholas",37,M,M
"Jefferson, Thomas","Livingston, Robert R.",37,M,M
"Adams, John","Willink, Wilhelm",37,M,M
"Adams, John","Smith, William Stephens",37,M,M
"Carroll, Daniel","Madison, James",37,M,M
"Coxe, Tench","Adams, John",37,M,M
"Hodgdon, Samuel","Hamilton, Alexander",37,M,M
"Thornton, William","Jefferson, Thomas",37,M,M
"Briggs, Isaac","Jefferson, Thomas",37,M,M
"Montgomery, Robert","Madison, James",37,M,M
"Jefferson, Thomas","Duane, William",37,M,M
"Jefferson, Thomas","Claiborne, William C. C.",37,M,M
"Hay, George","Jefferson, Thomas",37,M,M
"Spafford, Horatio Gates","Jefferson, Thomas",37,M,M
"Jefferson, Thomas","Rodney, Caesar Augustus",37,M,M
"Madison, James","Everett, Edward",37,M,M
"Franklin, Benjamin","Cushing, Thomas",36,M,M
"Lee, William","Franklin, Benjamin",36,M,M
"Adams, John","Dana, Francis",36,M,M
"Livingston, Robert R.","Washington, George",36,M,M
"Adams, John","Lovell, James",36,M,M
"Washington, George","Estaing, Charles-Hector Théodat comte d’",36,M,M
"Adams, Abigail Smith","Smith, Abigail Amelia Adams",36,F,F
"Jefferson, Thomas","Davies, William",36,M,M
"Adams, John","Willink, Wilhem & Jan (business)",36,M,M
"Jefferson, Thomas","Taylor, John",36,M,M
"Hopkinson, Francis","Jefferson, Thomas",36,M,M
"Adams, John","Willink, Jan",36,M,M
"Currie, James","Jefferson, Thomas",36,M,M
"Smith, William Stephens","Adams, Abigail Smith",36,M,F
"Allibone, William","Hamilton, Alexander",36,M,M
"Pinckney, Charles Cotesworth","Hamilton, Alexander",36,M,M
"Toulmin, Harry","Madison, James",36,M,M
"Marshall, John","Adams, John",36,M,M
"Forbes, John M.","Madison, James",36,M,M
"Clinton, DeWitt","Jefferson, Thomas",36,M,M
"Mitchell, John","Madison, James",36,M,M
"Pedersen, Peder","Madison, James",36,M,M
"Delaplaine, Joseph","Jefferson, Thomas",36,M,M
"Jefferson, Thomas","Milligan, Joseph",36,M,M
"Cazenove, Anthony Charles","Madison, James",36,M,M
"Dandridge, Bartholomew Jr.","Washington, George",35,M,M
"Smith, Isaac Sr.","Adams, John",35,M,M
"Washington, George","Mifflin, Thomas",35,M,M
"Washington, George","Bland, Theodorick",35,M,M
"Wickes, Lambert","American Commissioners,",35,M,M
"Wickes, Lambert","Deane, Silas",35,M,M
"Wickes, Lambert","Lee, Arthur",35,M,M
"Washington, George","Armand Tuffin, Charles marquis de La Rouërie",35,M,M
"Nicola, Lewis","Washington, George",35,M,M
"Lafayette, Marie-Joseph-Paul-Yves-Roch-Gilbert du Motier marquis de","Adams, John",35,M,M
"Knox, Henry","Hamilton, Alexander",35,M,M
"Hamilton, Alexander","Wadsworth, Jeremiah",35,M,M
"Adams, John","McKean, Thomas",35,M,M
"Davies, William","Jefferson, Thomas",35,M,M
"Livingston, Robert R.","Franklin, Benjamin",35,M,M
"Madison, James Sr.","Madison, James",35,M,M
"White, Alexander","Washington, George",35,M,M
"Smith, William Stephens","Jefferson, Thomas",35,M,M
"Jefferson, Thomas","Morris, Gouverneur",35,M,M
"Washington, George","Anderson, James",35,M,M
"Wichelhausen, Frederick Jacob","Madison, James",35,M,M
"Madison, James","Yrujo, Carlos Martínez de",35,M,M
"Milligan, Joseph","Jefferson, Thomas",35,M,M
"Johnson, Richard M.","Madison, James",35,M,M
"Fairfax, George William","Washington, George",34,M,M
"Mercer, Hugh","Washington, George",34,M,M
"Boucher, Jonathan","Washington, George",34,M,M
"Wythe, George","Jefferson, Thomas",34,M,M
"Williams, Jonathan Sr.","Franklin, Benjamin",34,M,M
"Custis, John Parke","Washington, George",34,M,M
"Grayson, William","Washington, George",34,M,M
"Stoddert, Benjamin","Washington, George",34,M,M
"Washington, George","Fitzgerald, John",34,M,M
"Franklin, Benjamin","Lee, Arthur",34,M,M
"Lee, Charles","Adams, John",34,M,M
"Adams, Abigail Smith","Lovell, James",34,F,M
"Lee, William","Adams, John",34,M,M
"Washington, George","Smith, William Stephens",34,M,M
"Vergennes, Charles Gravier comte de","Adams, John",34,M,M
"Washington, George","Schuyler, Philip John",34,M,M
"La Lande & Fynje, de (business)","Adams, John",34,M,M
"Adams, John","Dumas, C. W. F.",34,M,M
"Jefferson, Thomas","Currie, James",34,M,M
"Jefferson, Thomas","Humphreys, David",34,M,M
"Fenwick, Joseph","Jefferson, Thomas",34,M,M
"Washington, George","Scott, Gustavus",34,M,M
"Tousard, Lewis","Hamilton, Alexander",34,M,M
"Jefferson, Thomas","Du Pont de Nemours, Pierre Samuel",34,M,M
"Jefferson, Thomas","Granger, Gideon",34,M,M
"Austin, David","Jefferson, Thomas",34,M,M
"Savage, William","Madison, James",34,M,M
"Lincoln, Levi","Madison, James",34,M,M
"Madison, James","Jones, William",34,M,M
"Wirt, William","Jefferson, Thomas",34,M,M
"Madison, James","Eustis, William",34,M,M
"Franklin, Benjamin","Jackson, Richard",33,M,M
"Washington, George","Stewart, Robert",33,M,M
"Washington, George","Glover, John",33,M,M
"Washington, George","Ward, Artemas",33,M,M
"Putnam, Rufus","Washington, George",33,M,M
"Washington, George","McKean, Thomas",33,M,M
"Washington, George","Shreve, Israel",33,M,M
"Willett, Marinus","Washington, George",33,M,M
"Adams, John","Dumas, Charles William Frederic",33,M,M
"Washington, George","Rochambeau, Comte de",33,M,M
"Anderson, James","Washington, George",33,M,M
"Adams, John","Staphorst, Nicolaas & Jacob van (business)",33,M,M
"Derieux, Justin Pierre Plumard","Jefferson, Thomas",33,M,M
"Corbin, Francis","Madison, James",33,M,M
"Adams, Charles","Adams, John",33,M,M
"Rivardi, John J. U.","Hamilton, Alexander",33,M,M
"Rice, Nathan","Hamilton, Alexander",33,M,M
"Gelston, David","Madison, James",33,M,M
"Trist, Elizabeth House","Jefferson, Thomas",33,F,M
"Williams, Robert","Jefferson, Thomas",33,M,M
"Jefferson, Thomas","Coolidge, Ellen Wayles Randolph",33,M,F
"Strahan, William","Franklin, Benjamin",32,M,M
"Mason, George","Washington, George",32,M,M
"Franklin, Deborah","Franklin, Benjamin",32,F,M
"Trumbull, John","Adams, John",32,M,M
"Tudor, William","Adams, John",32,M,M
"Moylan, James","Franklin, Benjamin",32,M,M
"Sartine, Antoine-Raymond-Gualbert-Gabriel de","Adams, John",32,M,M
"Landais, Pierre","Franklin, Benjamin",32,M,M
"Lee, Henry","Hamilton, Alexander",32,M,M
"Jefferson, Thomas","Mazzei, Philip",32,M,M
"Hamilton, Alexander","Schuyler, Philip",32,M,M
"Washington, George","Muse, Battaile",32,M,M
"Adams, Abigail Smith","Jefferson, Thomas",32,F,M
"Jones, John Paul","Jefferson, Thomas",32,M,M
"Jefferson, Thomas","Carey, Mathew",32,M,M
"Jefferson, Thomas","Barton, Benjamin Smith",32,M,M
"Hamilton, Alexander","President and Directors of the Bank of the United States,",32,M,NA
"Jefferson, Thomas","Thornton, William",32,M,M
"Wagner, Jacob","Jefferson, Thomas",32,M,M
"Madison, James","Erving, George W.",32,M,M
"Madison, James","Adams, John Quincy",32,M,M
"Baker, John Martin","Madison, James",32,M,M
"Hamilton, Paul","Madison, James",32,M,M
"Madison, James","Coles, Edward",32,M,M
"Adams, John","Boylston, Ward Nicholas",32,M,M
"Dunglison, Robley","Madison, James",32,M,M
"Madison, James","Cocke, John Hartwell",32,M,M
"Washington, John Augustine","Washington, George",31,M,M
"Glover, John","Washington, George",31,M,M
"Lee, Richard Henry","Jefferson, Thomas",31,M,M
"Washington, George","Hand, Edward",31,M,M
"Washington, George","Varnum, James Mitchell",31,M,M
"Bondfield, John","First Joint Commission at Paris,",31,M,M
"Sartine, Antoine-Raymond-Gualbert-Gabriel de","American Commissioners,",31,M,M
"Sartine, Antoine-Raymond-Gualbert-Gabriel de","Lee, Arthur",31,M,M
"Washington, George","Greene, William",31,M,M
"Smith, Abigail Amelia Adams","Norton, Elizabeth Cranch",31,F,F
"Bache, Benjamin Franklin","Franklin, Benjamin",31,M,M
"Jefferson, Thomas","Board of Trade,",31,M,NA
"Board of War,","Jefferson, Thomas",31,NA,M
"Washington, George","Lee, Thomas Sim",31,M,M
"Washington, George","Alexander, William Lord Stirling",31,M,M
"Jameson, David","Madison, James",31,M,M
"Washington, George","Lewis, Robert",31,M,M
"Jefferson, Thomas","Derieux, Justin Pierre Plumard",31,M,M
"Lee, Charles","Hamilton, Alexander",31,M,M
"Washington, George","Wolcott, Oliver Jr.",31,M,M
"Cushing, Hannah Phillips","Adams, Abigail Smith",31,F,F
"Jackson, Daniel","Hamilton, Alexander",31,M,M
"O’Brien, Richard","Madison, James",31,M,M
"Lehré, Thomas","Jefferson, Thomas",31,M,M
"Madison, James","United States Congress,",31,M,M
"Jefferson, Thomas","Cocke, John Hartwell",31,M,M
"Adams, John Quincy","Smith, John Adams",31,M,M
"Mecom, Jane","Franklin, Benjamin",30,F,M
"Williams, Jonathan","Adams, John",30,M,M
"McKean, Thomas","Washington, George",30,M,M
"Hamilton, Alexander","Clinton, George",30,M,M
"Carrington, Edward","Washington, George",30,M,M
"Ambler, Jacquelin","Madison, James",30,F,M
"Carleton, Guy","Washington, George",30,M,M
"Washington, George","Carleton, Guy",30,M,M
"Cosway, Maria","Jefferson, Thomas",30,F,M
"Madison, James","Lee, Henry",30,M,M
"Vaughan, Benjamin","Jefferson, Thomas",30,M,M
"Lee, Richard Bland","Madison, James",30,M,M
"Washington, George","Senate,",30,M,M
"Cutting, Nathaniel","Jefferson, Thomas",30,M,M
"Hamilton, Alexander","Harrison, Richard",30,M,M
"Hamilton, Alexander","Appleton, Nathaniel",30,M,M
"Jefferson, Thomas","Remsen, Henry",30,M,M
"Barton, Benjamin Smith","Jefferson, Thomas",30,M,M
"Sullivan, James","Jefferson, Thomas",30,M,M
"Williams, Jonathan","Jefferson, Thomas",30,M,M
"Hamilton, Alexander","Parker, Thomas",30,M,M
"Jones & Howell,","Jefferson, Thomas",30,M,M
"Anonymous,","Madison, James",30,M,M
"Jefferson, Thomas","Ritchie, Thomas",30,M,M
"Cocke, John Hartwell","Jefferson, Thomas",30,M,M
"Franklin, Benjamin","Washington, George",29,M,M
"Baldwin, Loammi","Washington, George",29,M,M
"Franklin, Benjamin","Morris, Robert",29,M,M
"Adams, John","Trumbull, John",29,M,M
"La Rochefoucauld, Louis-Alexandre duc de La Roche-Guyon et de","Franklin, Benjamin",29,M,M
"Jefferson, Thomas","Wythe, George",29,M,M
"Washington, George","Livingston, Robert R.",29,M,M
"Sheldon, Elisha","Washington, George",29,M,M
"Smith, Samuel","Washington, George",29,M,M
"Washington, George","Muhlenberg, Peter",29,M,M
"Lee, Thomas Sim","Washington, George",29,M,M
"Adams, John","Vergennes, Charles Gravier comte de",29,M,M
"Duane, James","Washington, George",29,M,M
"Barbour, James","Jefferson, Thomas",29,M,M
"Lee, Henry","Jefferson, Thomas",29,M,M
"Wilkinson, James","Madison, James",29,M,M
"Adams, Abigail Smith","Adams, Abigail Smith",29,F,F
"Hamilton, Alexander","Willing, Thomas",29,M,M
"Hamilton, Alexander","Lee, Charles",29,M,M
"Ellicott, Andrew","Madison, James",29,M,M
"Heath, William","Hamilton, Alexander",29,M,M
"Hull, William","Madison, James",29,M,M
"Hamilton, Alexander","Jackson, Daniel",29,M,M
"Smith, Samuel Harrison","Jefferson, Thomas",29,M,M
"Barbour, James","Madison, James",29,M,M
"Jefferson, Thomas","Wirt, William",29,M,M
"Adams, John","Carey, Mathew",29,M,M
"Parker, Daniel","Madison, James",29,M,M
"Hatch, Frederick Winslow","Jefferson, Thomas",29,M,M
"Fairfax, William","Washington, George",28,M,M
"Fitzhugh, William","Washington, George",28,M,M
"Crawford, William","Washington, George",28,M,M
"Patterson, John","Washington, George",28,M,M
"Adams, John","Adams, Samuel",28,M,M
"Franklin, Benjamin","Cooper, Samuel",28,M,M
"Bache, Sarah Franklin","Franklin, Benjamin",28,F,M
"Washington, George","Irvine, William",28,M,M
"Committee for Foreign Affairs,","Franklin, Benjamin",28,M,M
"Morgan, Daniel","Washington, George",28,M,M
"Lafayette, Marie-Joseph-Paul-Yves-Roch-Gilbert du Motier marquis de","Hamilton, Alexander",28,M,M
"Van Schaick, Goose","Washington, George",28,M,M
"Jefferson, Thomas","Virginia Assembly,",28,M,M
"Humphreys, David","Pickering, Timothy",28,M,M
"Mercer, John Francis","Madison, James",28,M,M
"Jefferson, Thomas","Jefferson, Mary",28,M,F
"Jefferson, Thomas","Adams, Abigail Smith",28,M,F
"Donald, Alexander","Jefferson, Thomas",28,M,M
"Adams, John","Cunningham, William",28,M,M
"Ball, Burgess","Washington, George",28,M,M
"Rush, Benjamin","Madison, James",28,M,M
"Barnes, Joseph","Jefferson, Thomas",28,M,M
"Carrington, Edward","Hamilton, Alexander",28,M,M
"Adams, John","Madison, James",28,M,M
"Callender, James Thomson","Jefferson, Thomas",28,M,M
"Hall, Josias Carvel","Hamilton, Alexander",28,M,M
"Nicholas, Wilson Cary","Madison, James",28,M,M
"Rodney, Caesar A.","Jefferson, Thomas",28,M,M
"Lewis, Meriwether","Jefferson, Thomas",28,M,M
"Thornton, Edward","Madison, James",28,M,M
"Rodney, Caesar A.","Madison, James",28,M,M
"Randolph, Thomas Eston","Jefferson, Thomas",28,M,M
"Madison, James","House of Representatives,",28,M,NA
"Adams, John","Smith, John Adams",28,M,M
"Warden, David Bailie","Madison, James",28,M,M
"Van der Kemp, François Adriaan","Jefferson, Thomas",28,M,M
"Adams, Charles Francis","Adams, John",28,M,M
"Jefferson, Thomas","Laval, John",28,M,M
"Adams, John","Cranch, Richard",27,M,M
"Washington, George","Custis, John Parke",27,M,M
"Weedon, George","Washington, George",27,M,M
"Franklin, Benjamin","Brillon de Jouy, Anne-Louise Boivin d’Hardancourt",27,M,F
"Jones, John Paul","Adams, John",27,M,M
"Scull, Peter","Washington, George",27,M,M
"Wadsworth, Jeremiah","Washington, George",27,M,M
"Thomson, Charles","Jefferson, Thomas",27,M,M
"Pickering, Timothy","Jefferson, Thomas",27,M,M
"Washington, George","Humphreys, David",27,M,M
"King, Rufus","Adams, John",27,M,M
"Adams, John","Van Staphorst, Jacob",27,M,M
"Jefferson, Thomas","Cathalan, Stephen Jr.",27,M,M
"Jefferson, Thomas","Knox, Henry",27,M,M
"Jefferson, Thomas","Paine, Thomas",27,M,M
"Hamilton, Alexander","Lear, Tobias",27,M,M
"Brown, James","Jefferson, Thomas",27,M,M
"Hamilton, Alexander","Wilkinson, James",27,M,M
"Adams, John","Monroe, James",27,M,M
"Adams, John Quincy","Johnson, Louisa Catherine",27,M,F
"Hoops, Adam Jr.","Hamilton, Alexander",27,M,M
"Taylor, Timothy","Hamilton, Alexander",27,M,M
"Gibson & Jefferson,","Jefferson, Thomas",27,M,M
"Adams, John","Dexter, Samuel",27,M,M
"de Lormerie, Louis Philippe Gallot","Jefferson, Thomas",27,M,M
"Fox, Robert W.","Madison, James",27,M,M
"Burwell, William Armistead","Jefferson, Thomas",27,M,M
"Forrest, Richard","Madison, James",27,M,M
"Wheaton, Joseph","Madison, James",27,M,M
"Garrett, Alexander","Jefferson, Thomas",27,M,M
"Washington, George","Fairfax, Bryan",26,M,M
"Carroll, Daniel","Washington, George",26,M,M
"Adams, John","Tudor, William",26,M,M
"Izard, Ralph","Franklin, Benjamin",26,M,M
"Washington, George","Mease, James",26,M,M
"Adams, John","Lafayette, Marie-Joseph-Paul-Yves-Roch-Gilbert du Motier marquis de",26,M,M
"Washington, George","Hay, Udny",26,M,M
"Franklin, Benjamin","Landais, Pierre",26,M,M
"Mazzei, Philip","Madison, James",26,M,M
"Washington, George","Tilghman, Tench",26,M,M
"Jefferson, Thomas","Gates, Horatio",26,M,M
"Virginia Delegates,","Jefferson, Thomas",26,M,M
"Weedon, George","Jefferson, Thomas",26,M,M
"Neufville, Jean de & Fils (business)","Adams, John",26,M,M
"Olney, Jeremiah","Washington, George",26,M,M
"Grasse-Tilly, François-Joseph-Paul comte de","Washington, George",26,M,M
"Barclay, Thomas","Franklin, Benjamin",26,M,M
"Madison, James","Maury, James",26,M,M
"Hamilton, Alexander","Chaloner, John",26,M,M
"Hamilton, Alexander","Madison, James",26,M,M
"Gerry, Elbridge","Jefferson, Thomas",26,M,M
"Adams, John","Van Staphorst, Nicholaas",26,M,M
"Skipwith, Fulwar","Jefferson, Thomas",26,M,M
"Giles, William Branch","Jefferson, Thomas",26,M,M
"Madison, James","Lear, Tobias",26,M,M
"Viar, José (Joseph) Ignacio de","Jefferson, Thomas",26,M,M
"Jaudenes, Joseph de","Jefferson, Thomas",26,M,M
"Jefferson, Thomas","Rush, Benjamin",26,M,M
"Johnson, Louisa Catherine","Adams, John Quincy",26,F,M
"North, William","Hamilton, Alexander",26,M,M
"Hamilton, Alexander","Hamtramck, John F.",26,M,M
"Whelen, Israel","Madison, James",26,M,M
"Jefferson, Thomas","Randolph, Thomas Jefferson",26,M,M
"Bailey, Theodorus","Jefferson, Thomas",26,M,M
"Hollins, John","Jefferson, Thomas",26,M,M
"Graham, John","Jefferson, Thomas",26,M,M
"Yancey, Charles","Jefferson, Thomas",26,M,M
"Jefferson, Thomas","Randolph, Thomas Eston",26,M,M
"Adams, John Quincy","Adams, Charles Francis",26,M,M
"Jefferson, Thomas","Robertson, Archibald",26,M,M
"Tudor, William Jr.","Adams, John",26,M,M
"Carlyle, John","Washington, George",25,M,M
"Washington, George","Franklin, Benjamin",25,M,M
"Galloway, Joseph","Franklin, Benjamin",25,M,M
"Washington, George","Armstrong, John",25,M,M
"Franklin, Benjamin","Barbeu-Dubourg, Jacques",25,M,M
"Washington, George","Morgan, Daniel",25,M,M
"Washington, George","Gordon, William",25,M,M
"Adams, Abigail Smith","Thaxter, John",25,F,M
"Vergennes, Charles Gravier comte de","American Commissioners,",25,M,M
"Lee, Arthur","Deane, Silas",25,M,M
"Laurens, John","Washington, George",25,M,M
"Blaine, Ephraim","Washington, George",25,M,M
"Adams, John","Genet, Edmé Jacques",25,M,M
"Washington, George","Brodhead, Daniel",25,M,M
"Torris, John","Franklin, Benjamin",25,M,M
"Franklin, Benjamin","Hodgson, William",25,M,M
"Mazzei, Philip","Adams, John",25,M,M
"Armand Tuffin, Charles marquis de La Rouërie","Washington, George",25,M,M
"Washington, George","Grasse-Tilly, François-Joseph-Paul comte de",25,M,M
"Franklin, Benjamin","Livingston, Robert R.",25,M,M
"Watkins, Thomas G.","Jefferson, Thomas",25,M,M
"Van Staphorst, Nicolaas","Adams, John",25,M,M
"Langdon, John","Jefferson, Thomas",25,M,M
"Van Staphorst, Jacob","Adams, John",25,M,M
"Hawkins, Benjamin","Jefferson, Thomas",25,M,M
"Deakins, William Jr.","Washington, George",25,M,M
"Short, William","Jay, John",25,M,M
"Lear, Tobias","Knox, Henry",25,M,M
"Hamilton, Alexander","Huntington, Jedediah",25,M,M
"Jefferson, Thomas","Coxe, Tench",25,M,M
"Adams, Thomas Boylston","Cranch, William",25,M,M
"Jefferson, Thomas","Ternant, Jean Baptiste",25,M,M
"Mease, James","Jefferson, Thomas",25,M,M
"Washington, George","Washington, William Augustine",25,M,M
"Adams, Thomas Boylston","Pitcairn, Joseph",25,M,M
"Madison, James","Gelston, David",25,M,M
"Claxton, Thomas","Jefferson, Thomas",25,M,M
"Thornton, William","Madison, James",25,M,M
"Bulkeley, Thomas","Madison, James",25,M,M
"Mason, John","Madison, James",25,M,M
"Dinsmore, James","Jefferson, Thomas",25,M,M
"Ingersoll, Charles Jared","Madison, James",25,M,M
"Ewell, Thomas Beale","Jefferson, Thomas",25,M,M
"Jefferson, Thomas","Gilmer, Francis Walker",25,M,M
"Gelone, J. Louis Fernagus De","Jefferson, Thomas",25,M,M
"Carter, Landon","Washington, George",24,M,M
"Alexander, William","Franklin, Benjamin",24,M,M
"Washington, George","Bouquet, Henry",24,M,M
"Capel & Osgood Hanbury,","Washington, George",24,M,M
"Priestley, Joseph","Franklin, Benjamin",24,M,M
"Sullivan, James","Adams, John",24,M,M
"Livingston, Henry Beekman","Washington, George",24,M,M
"Lovell, James","Franklin, Benjamin",24,M,M
"Pulaski, Casimir","Washington, George",24,M,M
"Potter, James","Washington, George",24,M,M
"Adams, John","Laurens, Henry",24,M,M
"Moylan, James","Adams, John",24,M,M
"Tilghman, Tench","Washington, George",24,M,M
"Sartine, Antoine-Raymond-Gualbert-Gabriel de","First Joint Commission at Paris,",24,M,M
