source,target,letters,source_gender,target_gender
"Randolph, Edmund","Madison, James",124,M,M
"Armstrong, John","Madison, James",124,M,M
"McDougall, Alexander","Washington, George",123,M,M
"Dumas, Charles William Frederic","Adams, John",122,M,M
"Adams, John","Warren, James",121,M,M
"Pendleton, Edmund","Madison, James",121,M,M
"Dumas, Charles William Frederic","Jefferson, Thomas",121,M,M
"Adams, John","Boston Patriot,",121,M,M
"Madison, James","Madison, James Sr.",120,M,M
"Washington, George","Schuyler, Philip",120,M,M
"Graham, John","Madison, James",120,M,M
"Reibelt, J. Phillipe","Jefferson, Thomas",120,M,M
"Cranch, Mary Smith","Adams, Abigail Smith",119,F,F
"Laurens, Henry","Washington, George",119,M,M
"Joy, George","Madison, James",119,M,M
"Lafayette, Marie-Joseph-Paul-Yves-Roch-Gilbert du Motier marquis de","Jefferson, Thomas",118,M,M
"Jones, William","Madison, James",118,M,M
"Pinckney, Charles","Madison, James",117,M,M
"Stirling, Lord (né William Alexander)","Washington, George",116,M,M
"Putnam, Israel","Washington, George",116,M,M
"Peale, Charles Willson","Jefferson, Thomas",116,M,M
"Maury, James","Madison, James",114,M,M
"Pearce, William","Washington, George",114,M,M
"Coxe, Tench","Jefferson, Thomas",113,M,M
"Cathcart, James Leander","Madison, James",113,M,M
"Eustis, William","Madison, James",113,M,M
"Washington, George","Howe, Robert",112,M,M
"Dawson, John","Madison, James",112,M,M
"Wolcott, Oliver Jr.","Hamilton, Alexander",112,M,M
"Maxwell, William","Washington, George",111,M,M
"Dallas, Alexander J.","Madison, James",111,M,M
"Parsons, Samuel Holden","Washington, George",110,M,M
"Tallmadge, Benjamin","Washington, George",110,M,M
"Hamilton, Alexander","Hamilton, Elizabeth",109,M,F
"Jefferson, Thomas","United States Congress,",109,M,M
"Jefferson, Thomas","Smith, Robert",109,M,M
"Merry, Anthony","Madison, James",109,M,M
"Williams, Jonathan Jr.","American Commissioners,",108,M,M
"Simpson, James","Madison, James",108,M,M
"Williams, Jonathan Jr.","Lee, Arthur",107,M,M
"Vaughan, John","Jefferson, Thomas",107,M,M
"Franklin, Benjamin","Vergennes, Charles Gravier comte de",105,M,M
"Jefferson, Thomas","Eppes, John Wayles",105,M,M
"Trist, Nicholas P.","Madison, James",105,M,M
"Washington, George","Stirling, Lord (né William Alexander)",104,M,M
"Reed, Joseph","Washington, George",104,M,M
"Hamilton, Alexander","Lincoln, Benjamin",104,M,M
"Wolcott, Oliver Jr.","Adams, John",104,M,M
"Adams, John","McHenry, James",104,M,M
"Stoddert, Benjamin","Adams, John",103,M,M
"Adams, John","Waterhouse, Benjamin",102,M,M
"Adams, John","Stoddert, Benjamin",102,M,M
"Washington, George","Reed, Joseph",101,M,M
"Jenings, Edmund","Adams, John",101,M,M
"Smith, William Stephens","Hamilton, Alexander",101,M,M
"Washington, George","Randolph, Edmund",100,M,M
"Humphreys, David","Jefferson, Thomas",100,M,M
"Washington, George","Lear, Tobias",99,M,M
"Steuben, Friedrich Wilhelm Ludolf Gerhard Augustin Baron [von]","Washington, George",98,M,M
"Lincoln, Benjamin","Hamilton, Alexander",98,M,M
"Adams, John","Wolcott, Oliver Jr.",98,M,M
"Jefferson, Thomas","United States Senate,",97,M,M
"Franklin, Benjamin","Strahan, William",96,M,M
"Washington, George","Wayne, Anthony",96,M,M
"Bondfield, John","Franklin, Benjamin",96,M,M
"Biddle, Clement","Washington, George",96,M,M
"Adams, John","Franklin, Benjamin",96,M,M
"Limozin, André","Jefferson, Thomas",96,M,M
"Lear, Tobias","Hamilton, Alexander",96,M,M
"Jefferson, Thomas","Jay, John",95,M,M
"Jefferson, Thomas","Brockenbrough, Arthur S.",95,M,M
"Hartley, David","Franklin, Benjamin",94,M,M
"Madison, James","Pendleton, Edmund",94,M,M
"Pichon, Louis-André","Madison, James",94,M,M
"Morris, Gouverneur","Washington, George",93,M,M
"Smith, Samuel","Jefferson, Thomas",93,M,M
"Armstrong, John Jr.","Madison, James",92,M,M
"Jones, John Paul","Franklin, Benjamin",91,M,M
"Virginia Delegates,","Harrison, Benjamin",91,M,M
"Williams, Jonathan Jr.","Deane, Silas",90,M,M
"Jay, John","Adams, John",89,M,M
"Adams, Abigail Smith","Welsh, Harriet",89,F,F
"Jefferson, Thomas","Randolph, Thomas Mann Jr.",88,M,M
"Washington, George","Robert Cary & Company,",87,M,M
"Sartine, Antoine-Raymond-Gualbert-Gabriel de","Franklin, Benjamin",87,M,M
"Huntington, Samuel","Jefferson, Thomas",87,M,M
"Brockenbrough, Arthur S.","Jefferson, Thomas",87,M,M
