source,target,letters
"Franklin, Benjamin","Jones, John Paul",133
"Franklin, Benjamin","Sartine, Antoine-Raymond-Gualbert-Gabriel de",133
"Hamilton, Alexander","Morris, Robert",133
"Stuart, David","Washington, George",133
"Hamilton, Alexander","Seton, William",133
"Cooper, Thomas","Jefferson, Thomas",133
"Jefferson, Thomas","Smith, Samuel",132
"Madison, James","Pichon, Louis-André",132
"Dayton, Elias","Washington, George",131
"Boudinot, Elias","Washington, George",130
"Hamilton, Alexander","King, Rufus",130
"Joy, George","Madison, James",130
"United States Congress,","Washington, George",129
"Franklin, Benjamin","Strahan, William",128
"Forman, David","Washington, George",126
"Scott, Charles","Washington, George",125
"Eppes, Francis","Jefferson, Thomas",123
"Dawson, John","Madison, James",123
"Hamilton, Alexander","Lear, Tobias",123
"Hamilton, Alexander","Ogden, Aaron",122
"Adams, John","Waterhouse, Benjamin",121
"Carmichael, William","Jefferson, Thomas",121
"Hamilton, Alexander","Jefferson, Thomas",121
"Adams, John","Boston Patriot,",121
"Franklin, Benjamin","Hewson, Mary Stevenson",120
"Adams, Abigail Smith","Shaw, William Smith",120
"Hamilton, Alexander","Randolph, Edmund",120
"Jefferson, Thomas","Page, John",119
"Madison, James","Simpson, James",119
"Hamilton, Alexander","Pickering, Timothy",118
"Arnold, Benedict","Washington, George",117
"Hamilton, Alexander","Hamilton, Elizabeth",117
"Jefferson, Thomas","United States Senate,",117
"Lee, Charles","Washington, George",116
"Adams, John","Tudor, William Sr.",116
"Adams, Abigail Smith","Warren, Mercy Otis",115
"Jefferson, Thomas","Randolph, Edmund",115
"Dufief, Nicolas Gouin","Jefferson, Thomas",115
"Bache, Richard","Franklin, Benjamin",114
"Thornton, William","Washington, George",114
"Franklin, Benjamin","Lee, Arthur",113
"Moylan, Stephen","Washington, George",113
"Mifflin, Thomas","Washington, George",113
"Jefferson, Thomas","Trumbull, John",113
"Lee, Henry","Madison, James",113
"Granger, Gideon","Jefferson, Thomas",113
"Gelston, David","Jefferson, Thomas",113
"Adams, Abigail Smith","Tufts, Cotton",112
"Adams, John","Dana, Francis",112
"Hamilton, Alexander","Stevens, Ebenezer",112
